ticket,date,model,features,mae,recall_poor,notes
DAF-06,2026-09-20,persistence,"pm25_until_17 (same day, hours 00-17)",15.728,0.471,"time split, cut 2026-03-01; 161 test rows; 17 Poor days (caught 8, missed 9, false alarms 12)"
DAF-06,2026-09-20,yesterday_full_day,pm25_mean of previous day,16.399,0.471,"time split, cut 2026-03-01; 161 test rows; 17 Poor days (caught 8, missed 9, false alarms 10)"
DAF-07,2026-09-21,ridge_pipeline,"pm25_until_17, lag_1, mean_3, mean_7, month",15.507,0.353,"StandardScaler+Ridge(alpha=1.0), time split cut 2026-03-01; 145 test rows; 17 Poor days (caught 6, missed 11, false alarms 7); MAE -5.1% vs persistence on the same 145 days"
DAF-09,2026-09-23,ridge_pipeline,"pm25_until_17, lag_1, mean_3, mean_7, month",15.963,0.438,"cleaned table daily_17_clean.csv: fill holes <= 2 h, broken sensor week 2025-07-04 to 2025-07-11 removed; StandardScaler+Ridge(alpha=1.0), cut 2026-03-01; 272 train / 148 test rows; 16 Poor days (caught 7, missed 9, false alarms 6); fair check on the same 145 days and answer key: MAE 15.507 -> 15.838, recall 0.353 -> 0.412 (2 days on the 91 line); cleaning barely moved the model"
